frame_num,drone_latitude,drone_longitude,displacement_origin,displacement_previous,drone_latitude_pixels,drone_longitude_pixels,displacement_origin_pixels,displacement_previous_pixels,is_reference
157,38.013315,23.75318,,,,,,,False
158,38.013315,23.75318,,,,,,,False
159,38.013321,23.753184,,,,,,,False
160,38.013321,23.753184,,,,,,,False
161,38.013321,23.753184,,,,,,,False
162,38.013328,23.753187,,,,,,,False
163,38.013328,23.753187,,,,,,,False
164,38.013335,23.75319,,,,,,,False
165,38.013335,23.75319,,,,,,,False
166,38.013335,23.75319,,,,,,,False
167,38.013342,23.753194,,,,,,,False
168,38.013342,23.753194,,,,,,,False
169,38.013349,23.753197,,,,,,,False
170,38.013349,23.753197,,,,,,,False
171,38.013349,23.753197,,,,,,,False
172,38.013355,23.7532,,,,,,,False
173,38.013355,23.7532,,,,,,,False
174,38.013362,23.753204,,,,,,,False
175,38.013362,23.753204,,,,,,,False
176,38.013362,23.753204,,,,,,,False
177,38.013369,23.753207,,,,,,,False
178,38.013369,23.753207,,,,,,,False
179,38.013375,23.75321,,,,,,,False
180,38.013375,23.75321,,,,,,,False
181,38.013382,23.753214,,,,,,,False
182,38.013382,23.753214,,,,,,,False
183,38.013382,23.753214,,,,,,,False
184,38.013389,23.753217,,,,,,,False
185,38.013389,23.753217,,,,,,,False
186,38.013396,23.75322,,,,,,,False
187,38.013396,23.75322,,,,,,,False
188,38.013396,23.75322,,,,,,,False
189,38.013402,23.753224,,,,,,,False
190,38.013402,23.753224,,,,,,,False
191,38.013402,23.753224,,,,,,,False
192,38.013409,23.753227,,,,,,,False
193,38.013409,23.753227,,,,,,,False
194,38.013416,23.75323,,,,,,,False
195,38.013416,23.75323,,,,,,,False
196,38.013423,23.753234,,,,,,,False
197,38.013423,23.753234,,,,,,,False
198,38.013423,23.753234,,,,,,,False
199,38.01343,23.753237,,,,,,,False
200,38.01343,23.753237,,,,,,,False
201,38.013436,23.75324,,,,,,,False
202,38.013436,23.75324,,,,,,,False
203,38.013436,23.75324,,,,,,,False
204,38.013443,23.753244,,,,,,,False
205,38.013443,23.753244,,,,,,,False
206,38.013443,23.753244,,,,,,,False
207,38.013449,23.753247,,,,,,,False
208,38.013449,23.753247,,,,,,,False
209,38.013456,23.75325,,,,,,,False
210,38.013456,23.75325,,,,,,,False
211,38.013456,23.75325,,,,,,,False
212,38.013463,23.753254,,,,,,,False
213,38.013463,23.753254,,,,,,,False
214,38.013469,23.753257,,,,,,,False
215,38.013469,23.753257,,,,,,,False
216,38.013476,23.75326,,,,,,,False
217,38.013476,23.75326,,,,,,,False
218,38.013476,23.75326,,,,,,,False
219,38.013483,23.753264,,,,,,,False
220,38.013483,23.753264,,,,,,,False
221,38.013483,23.753264,,,,,,,False
222,38.01349,23.753267,,,,,,,False
223,38.01349,23.753267,,,,,,,False
224,38.013496,23.75327,,,,,,,False
225,38.013496,23.75327,,,,,,,False
226,38.013496,23.75327,,,,,,,False
227,38.013503,23.753274,,,,,,,False
228,38.013503,23.753274,,,,,,,False
229,38.01351,23.753277,,,,,,,False
230,38.01351,23.753277,,,,,,,False
231,38.013516,23.75328,,,,,,,False
232,38.013516,23.75328,,,,,,,False
233,38.013516,23.75328,,,,,,,False
234,38.013523,23.753283,,,,,,,False
235,38.013523,23.753283,,,,,,,False
236,38.013523,23.753283,,,,,,,False
237,38.01353,23.753287,,,,,,,False
238,38.01353,23.753287,,,,,,,False
239,38.013537,23.75329,,,,,,,False
240,38.013537,23.75329,,,,,,,False
241,38.013537,23.75329,,,,,,,False
242,38.013543,23.753293,,,,,,,False
243,38.013543,23.753293,,,,,,,False
244,38.013549,23.753296,,,,,,,False
245,38.013549,23.753296,,,,,,,False
246,38.013557,23.7533,,,,,,,False
247,38.013557,23.7533,,,,,,,False
248,38.013557,23.7533,,,,,,,False
249,38.013563,23.753303,,,,,,,False
250,38.013563,23.753303,,,,,,,False
251,38.013563,23.753303,,,,,,,False
252,38.01357,23.753307,,,,,,,False
253,38.01357,23.753307,,,,,,,False
254,38.013577,23.75331,,,,,,,False
255,38.013577,23.75331,,,,,,,False
256,38.013584,23.753313,,,,,,,False
257,38.013584,23.753313,,,,,,,False
258,38.013584,23.753313,,,,,,,False
259,38.01359,23.753316,,,,,,,False
260,38.01359,23.753316,,,,,,,False
261,38.01359,23.753316,,,,,,,False
262,38.013598,23.75332,,,,,,,False
263,38.013598,23.75332,,,,,,,False
264,38.013604,23.753324,,,,,,,False
265,38.013604,23.753324,,,,,,,False
266,38.013604,23.753324,,,,,,,False
267,38.01361,23.753326,,,,,,,False
268,38.01361,23.753326,,,,,,,False
269,38.013617,23.75333,,,,,,,False
270,38.013617,23.75333,,,,,,,False
271,38.013617,23.75333,,,,,,,False
272,38.013624,23.753333,,,,,,,False
273,38.013624,23.753333,,,,,,,False
274,38.01363,23.753336,,,,,,,False
275,38.01363,23.753336,,,,,,,False
276,38.01363,23.753336,,,,,,,False
277,38.013637,23.75334,,,,,,,False
278,38.013637,23.75334,,,,,,,False
279,38.013644,23.753343,,,,,,,False
280,38.013644,23.753343,,,,,,,False
281,38.013644,23.753343,,,,,,,False
282,38.01365,23.753346,,,,,,,False
283,38.01365,23.753346,,,,,,,False
284,38.013657,23.75335,,,,,,,False
285,38.013657,23.75335,,,,,,,False
286,38.013657,23.75335,,,,,,,False
287,38.013663,23.753353,,,,,,,False
288,38.013663,23.753353,,,,,,,False
289,38.01367,23.753356,,,,,,,False
290,38.01367,23.753356,,,,,,,False
291,38.01367,23.753356,,,,,,,False
292,38.013677,23.75336,,,,,,,False
293,38.013677,23.75336,,,,,,,False
294,38.013683,23.753363,,,,,,,False
295,38.013683,23.753363,,,,,,,False
296,38.013683,23.753363,,,,,,,False
297,38.01369,23.753366,,,,,,,False
298,38.01369,23.753366,,,,,,,False
299,38.013697,23.753369,,,,,,,False
300,38.013697,23.753369,,,,,,,True
301,38.013703,23.753373,,,,,,,False
302,38.013703,23.753373,,,,,,,False
303,38.013703,23.753373,,,,,,,False
304,38.01371,23.753376,,,,,,,False
305,38.01371,23.753376,,,,,,,False
306,38.01371,23.753376,,,,,,,False
307,38.013717,23.753379,,,,,,,False
308,38.013717,23.753379,,,,,,,False
309,38.013723,23.753383,,,,,,,False
310,38.013723,23.753383,,,,,,,False
311,38.013723,23.753383,,,,,,,False
312,38.01373,23.753386,,,,,,,False
313,38.01373,23.753386,,,,,,,False
314,38.013737,23.753389,,,,,,,False
315,38.013737,23.753389,,,,,,,False
316,38.013737,23.753389,,,,,,,False
317,38.013744,23.753393,,,,,,,False
318,38.013744,23.753393,,,,,,,False
319,38.01375,23.753396,,,,,,,False
320,38.01375,23.753396,,,,,,,False
321,38.01375,23.753396,,,,,,,False
322,38.013757,23.753399,,,,,,,False
323,38.013757,23.753399,,,,,,,False
324,38.013764,23.753403,,,,,,,False
325,38.013764,23.753403,,,,,,,False
326,38.013764,23.753403,,,,,,,False
327,38.013771,23.753406,,,,,,,False
328,38.013771,23.753406,,,,,,,False
329,38.013778,23.753409,,,,,,,False
330,38.013778,23.753409,,,,,,,False
331,38.013784,23.753412,,,,,,,False
332,38.013784,23.753412,,,,,,,False
333,38.013784,23.753412,,,,,,,False
334,38.013791,23.753416,,,,,,,False
335,38.013791,23.753416,,,,,,,False
336,38.013791,23.753416,,,,,,,False
337,38.013798,23.753419,,,,,,,False
338,38.013798,23.753419,,,,,,,False
339,38.013804,23.753422,,,,,,,False
340,38.013804,23.753422,,,,,,,False
341,38.013804,23.753422,,,,,,,False
342,38.013811,23.753426,,,,,,,False
343,38.013811,23.753426,,,,,,,False
344,38.013818,23.753429,,,,,,,False
345,38.013818,23.753429,,,,,,,False
346,38.013825,23.753432,,,,,,,False
347,38.013825,23.753432,,,,,,,False
348,38.013825,23.753432,,,,,,,False
349,38.013831,23.753435,,,,,,,False
350,38.013831,23.753435,,,,,,,False
351,38.013831,23.753435,,,,,,,False
352,38.013838,23.753438,,,,,,,False
353,38.013838,23.753438,,,,,,,False
354,38.013845,23.753442,,,,,,,False
355,38.013845,23.753442,,,,,,,False
356,38.013845,23.753442,,,,,,,False
357,38.013851,23.753445,,,,,,,False
358,38.013851,23.753445,,,,,,,False
359,38.013858,23.753448,,,,,,,False
360,38.013858,23.753448,,,,,,,False
361,38.013865,23.753451,,,,,,,False
362,38.013865,23.753451,,,,,,,False
363,38.013865,23.753451,,,,,,,False
364,38.013871,23.753454,,,,,,,False
365,38.013871,23.753454,,,,,,,False
366,38.013878,23.753458,,,,,,,False
367,38.013878,23.753458,,,,,,,False
368,38.013878,23.753458,,,,,,,False
369,38.013885,23.753461,,,,,,,False
370,38.013885,23.753461,,,,,,,False
371,38.013885,23.753461,,,,,,,False
372,38.013891,23.753464,,,,,,,False
373,38.013891,23.753464,,,,,,,False
374,38.013898,23.753467,,,,,,,False
375,38.013898,23.753467,,,,,,,False
376,38.013898,23.753467,,,,,,,False
377,38.013905,23.753471,,,,,,,False
378,38.013905,23.753471,,,,,,,False
379,38.013911,23.753474,,,,,,,False
380,38.013911,23.753474,,,,,,,False
381,38.013918,23.753477,,,,,,,False
382,38.013918,23.753477,,,,,,,False
383,38.013918,23.753477,,,,,,,False
384,38.013925,23.753481,,,,,,,False
385,38.013925,23.753481,,,,,,,False
386,38.013925,23.753481,,,,,,,False
387,38.013932,23.753484,,,,,,,False
388,38.013932,23.753484,,,,,,,False
389,38.013938,23.753487,,,,,,,False
390,38.013938,23.753487,,,,,,,False
391,38.013938,23.753487,,,,,,,False
392,38.013945,23.75349,,,,,,,False
393,38.013945,23.75349,,,,,,,False
394,38.013952,23.753493,,,,,,,False
395,38.013952,23.753493,,,,,,,False
396,38.013959,23.753497,,,,,,,False
397,38.013959,23.753497,,,,,,,False
398,38.013959,23.753497,,,,,,,False
399,38.013965,23.7535,,,,,,,False
400,38.013965,23.7535,,,,,,,False
401,38.013965,23.7535,,,,,,,False
402,38.013972,23.753503,,,,,,,False
403,38.013972,23.753503,,,,,,,False
404,38.013979,23.753507,,,,,,,False
405,38.013979,23.753507,,,,,,,False
406,38.013985,23.75351,,,,,,,False
407,38.013985,23.75351,,,,,,,False
408,38.013985,23.75351,,,,,,,False
409,38.013992,23.753513,,,,,,,False
410,38.013992,23.753513,,,,,,,False
411,38.013999,23.753516,,,,,,,False
412,38.013999,23.753516,,,,,,,False
413,38.013999,23.753516,,,,,,,False
414,38.014005,23.75352,,,,,,,False
415,38.014005,23.75352,,,,,,,False
416,38.014012,23.753523,,,,,,,False
417,38.014012,23.753523,,,,,,,False
418,38.014012,23.753523,,,,,,,False
419,38.014019,23.753526,,,,,,,False
420,38.014019,23.753526,,,,,,,False
421,38.014019,23.753526,,,,,,,False
422,38.014025,23.753529,,,,,,,False
423,38.014025,23.753529,,,,,,,False
424,38.014032,23.753533,,,,,,,False
425,38.014032,23.753533,,,,,,,False
426,38.014039,23.753536,,,,,,,False
427,38.014039,23.753536,,,,,,,False
428,38.014039,23.753536,,,,,,,False
429,38.014046,23.753539,,,,,,,False
430,38.014046,23.753539,,,,,,,False
431,38.014046,23.753539,,,,,,,False
432,38.014052,23.753543,,,,,,,False
433,38.014052,23.753543,,,,,,,False
434,38.014059,23.753546,,,,,,,False
